Product ID,Product Name,Website,Headquarters,Supported Platforms,Free Trial,Self Signup,Pricing Available,Has Freemium,Pricing Tier,Plan Name,Monthly Price,Yearly Price
comeen,Comeen,https://comeen.com/products/digital-signage,France,Android; BrightSign; ChromeOS; Fire OS; Linux; Tizen; Windows; webOS,true,true,true,false,premium,Starter,,324
dakboard,DAKboard,https://dakboard.com/site,USA,Fire OS; Raspberry Pi; Web Browser; Windows,true,true,true,true,affordable,Free (1 screen),0,0
dakboard,DAKboard,https://dakboard.com/site,USA,Fire OS; Raspberry Pi; Web Browser; Windows,true,true,true,true,affordable,Essential (2 screens),6,60
dakboard,DAKboard,https://dakboard.com/site,USA,Fire OS; Raspberry Pi; Web Browser; Windows,true,true,true,true,affordable,Plus (3 screens),10,96
digichief-mercury,Digichief Mercury,https://mercury.digichief.com/,USA,Web Browser,true,true,true,false,affordable,,24,21.6
digisign-play,Digisign Play,https://digisignplay.com/,Indonesia,Android; Fire OS; Tizen; Web Browser; Windows; webOS,true,false,true,false,affordable,Less than 80 screens,9,
digisigns,Digisigns,https://digisigns.in/,India,Android; Fire OS,true,true,true,false,midRange,STANDARD,20,220
digitalsignage-net,digitalsignage.NET,https://www.digitalsignage.net/,United Kingdom,Android; Fire OS; Windows,false,true,true,false,midRange,Starter,,184
directable,Directable,https://directable.com/,USA,Amazon Signage; Android; Fire OS,true,true,true,false,affordable,2+ Screens,7.5,67.5
disign,disign,https://www.disign.tv/,France,Android; BrightSign; ChromeOS; Fire OS; Linux; Tizen; Web Browser; Windows; webOS,true,true,true,false,affordable,Media,10.25,109.32
displ,Displ,https://displ.com/,Cyprus,Android; BrightSign; Fire OS; Linux; Tizen; Windows; iOS; webOS,true,true,true,false,midRange,Screen Management,,206
display-now,Display NOW,https://displaynow.io,USA,Android; Fire OS; Web Browser; Windows,true,true,true,false,affordable,Basic,8,60
display-now,Display NOW,https://displaynow.io,USA,Android; Fire OS; Web Browser; Windows,true,true,true,false,affordable,Pro,11,108
display-stream,Display.Stream,https://www.display.stream/,USA,Android; ChromeOS; Fire OS; Raspberry Pi; Tizen; webOS,true,true,true,true,affordable,Free,0,0
display-stream,Display.Stream,https://www.display.stream/,USA,Android; ChromeOS; Fire OS; Raspberry Pi; Tizen; webOS,true,true,true,true,affordable,Start,9,104
displayhub,DisplayHub,https://displayhub.co.uk/,United Kingdom,Android; Fire OS,false,false,false,false,affordable,SINGLE SCREEN,6.6,
displio,Displio,https://displio.cz/en/,Czechia,Android; Fire OS; Web Browser,true,true,true,true,affordable,Basic,0,0
displio,Displio,https://displio.cz/en/,Czechia,Android; Fire OS; Web Browser,true,true,true,true,affordable,Profi,12,120
displio,Displio,https://displio.cz/en/,Czechia,Android; Fire OS; Web Browser,true,true,true,true,affordable,Premium,18,178
disploy,Disploy,https://www.disploy.com/,USA,Amazon Signage; Android; Fire OS; Tizen; Windows; webOS,true,true,true,false,affordable,Basic,10,96
ditto,Ditto,https://www.airsquirrels.com/ditto/digital-signage-features,USA,Android; ChromeOS; Fire OS; Windows; iOS; macOS; tvOS,true,true,true,false,affordable,Basic,17,99
ditto,Ditto,https://www.airsquirrels.com/ditto/digital-signage-features,USA,Android; ChromeOS; Fire OS; Windows; iOS; macOS; tvOS,true,true,true,false,affordable,Premium,25,150
ditto,Ditto,https://www.airsquirrels.com/ditto/digital-signage-features,USA,Android; ChromeOS; Fire OS; Windows; iOS; macOS; tvOS,true,true,true,false,affordable,Elite,29,175
dopublicity,doPublicity,https://www.dopublicity.com/Digital-Signage-Software.aspx,USA,Android; Fire OS; Windows; macOS,true,true,true,false,,,,
dotsignage,DotSignage,https://www.dotsignage.com/,India,Android; Fire OS,true,true,true,false,affordable,Standard,12,120
dripboards,Drip Boards,https://dripboards.com/,USA,Android; ChromeOS; Fire OS,true,true,true,false,affordable,Monthly or Yearly,9.99,99.99
dsgo,DS-GO,https://dsgo.pro/,Ukraine,Android; Fire OS,true,true,true,false,affordable,,,4.28
dst-connect,DST Connect,https://dst-connect.io/,Netherlands,,true,true,true,false,premium,,28.5,
easy-multi-display,Easy Multi Display,https://easymultidisplay.com/,France,Windows,false,false,true,false,,,,
easy-signage,Easy Signage,https://easysignage.com/,Australia,Android; BrightSign; ChromeOS; Fire OS; Linux; Tizen; Windows; webOS,true,true,true,true,affordable,Free 1 screen,0,0
easy-signage,Easy Signage,https://easysignage.com/,Australia,Android; BrightSign; ChromeOS; Fire OS; Linux; Tizen; Windows; webOS,true,true,true,true,affordable,More than 1 screen,9.98,99
easycms,easyCMS,https://www.myeasycms.com/,Poland,Android; Fire OS; Windows,false,false,true,false,,easyCMS Licence,,
easyscreen,Easyscreen,https://easyscreen.tv/en/digital-signage-software/,Netherlands,Tizen; Web Browser; webOS,true,false,true,false,premium,1 year,,413
eggs-tv,Eggs TV,https://eggstv.io/,Russia,,false,false,true,false,,,,
embed-signage,embed signage,https://embedsignage.com/,United Kingdom,Android; BrightSign; ChromeOS; Fire OS; Raspberry Pi; Tizen; Windows; iOS; macOS; webOS,true,true,true,false,midRange,embed annual,,185
enplug,Enplug,https://www.enplug.in/,USA,Windows,false,false,true,false,premium,Growth,32,
exclaim,Exclaim,https://exclaimsignage.com/,USA,Web Browser,true,true,true,false,affordable,3 Screens,5,
ez-ad-tv,EZ-AD TV,https://ezadtv.com/,USA,,false,false,true,true,midRange,Free,0,0
ez-ad-tv,EZ-AD TV,https://ezadtv.com/,USA,,false,false,true,true,midRange,Silver,15,
eztv,EZ Plus,https://eztv.plus/,USA,tvOS,true,true,true,true,affordable,Free,0,0
eztv,EZ Plus,https://eztv.plus/,USA,tvOS,true,true,true,true,affordable,Basic,2.99,
fijee,Fijee,https://fijee.ru/,Russia,Android; Fire OS,true,true,true,true,affordable,Cloud,4.7,47
firmchannel,firmCHANNEL,https://firmchannel.com/,Canada,Amazon Signage; Android; BrightSign; Fire OS; Linux; Raspberry Pi; Tizen; Windows; webOS,false,false,true,false,midRange,Standard,19.95,
flexitive,Flexitive,https://www.flexitive.com/,Canada,ChromeOS; Windows; macOS,true,false,true,false,premium,Teams,74,708
flexitive,Flexitive,https://www.flexitive.com/,Canada,ChromeOS; Windows; macOS,true,false,true,false,premium,Enterprise,,1068
framen,FRAMEN,https://www.framen.com/,Germany,Android; Fire OS,false,true,true,true,affordable,Free,0,0
framen,FRAMEN,https://www.framen.com/,Germany,Android; Fire OS,false,true,true,true,affordable,Premium,,136.8
framr,FRAMR.,https://framr.tv/,Austria,Android; Fire OS; Web Browser,true,true,true,false,affordable,FRAMR.Propeller,,94.56
frontface,FrontFace,https://www.mirabyte.com/en/frontface/,Germany,Android; Fire OS; Windows,true,false,true,false,premium,Flexible Subscription License for one Player,39.95,
fugo,Fugo,https://www.fugo.ai/,United Kingdom,Android; BrightSign; ChromeOS; Fire OS; IAdea; Linux; Raspberry Pi; Web Browser; Windows,true,true,true,false,midRange,Essential,24,240
fugo,Fugo,https://www.fugo.ai/,United Kingdom,Android; BrightSign; ChromeOS; Fire OS; IAdea; Linux; Raspberry Pi; Web Browser; Windows,true,true,true,false,midRange,Core,36,360
fugo,Fugo,https://www.fugo.ai/,United Kingdom,Android; BrightSign; ChromeOS; Fire OS; IAdea; Linux; Raspberry Pi; Web Browser; Windows,true,true,true,false,midRange,Enterprise,,400
funeralscreen,FuneralScreen,https://funeralscreen.com/,USA,Android; BrightSign; Fire OS; Tizen; Windows; webOS,true,true,true,false,premium,Basic,28,300
funeralscreen,FuneralScreen,https://funeralscreen.com/,USA,Android; BrightSign; Fire OS; Tizen; Windows; webOS,true,true,true,false,premium,Premium,33,360
funeralscreen,FuneralScreen,https://funeralscreen.com/,USA,Android; BrightSign; Fire OS; Tizen; Windows; webOS,true,true,true,false,premium,Enterprise,38,420
fusion-signage,Fusion Signage,https://fusionsignage.com.au/,Australia,Android; BrightSign; ChromeOS; Fire OS; Linux; Tizen; Windows; webOS,true,true,true,false,affordable,Basic,,124
fyresign,Fyresign,https://fyresign.com/en,Norway,Android; ChromeOS; Fire OS; Raspberry Pi; Web Browser; Windows; iOS,true,true,true,true,midRange,FREE (1 device),0,0
fyresign,Fyresign,https://fyresign.com/en,Norway,Android; ChromeOS; Fire OS; Raspberry Pi; Web Browser; Windows; iOS,true,true,true,true,midRange,STANDARD,13.9,
glootv,GlooTV,https://glooclub.com/,India,Android; Fire OS; Web Browser,true,true,true,false,affordable,Simple pricing,15,132
greenscreens,GreenScreens,https://greenscreens.tv/,USA,,false,false,true,false,premium,Dispensary Basic,75,855
greet-tv,Greet.TV,https://greet.tv/,Sweden,Android; Fire OS; Windows; iOS; macOS,true,true,true,true,affordable,Standard,11,120
greet-tv,Greet.TV,https://greet.tv/,Sweden,Android; Fire OS; Windows; iOS; macOS,true,true,true,true,affordable,Premium,17,190
halo,Halo,https://nomadixinternational.com/halo,United Kingdom,Halo Player,false,false,true,false,premium,Standard 12 month contract,,302.99
harmony-digital,Harmony Digital,https://www.harmonydigital.co.uk/,United Kingdom,Android; Fire OS,false,false,true,false,midRange,Per screen,16,160
helloscreens,HelloScreens,https://helloscreens.io/software-price/,Poland,Windows,true,false,true,false,affordable,Standard,7.99,
helloscreens,HelloScreens,https://helloscreens.io/software-price/,Poland,Windows,true,false,true,false,affordable,Pro,9.99,
helloscreens,HelloScreens,https://helloscreens.io/software-price/,Poland,Windows,true,false,true,false,affordable,Enterprise,12.99,
hexnode,hexnode,https://www.hexnode.com/mobile-device-management/hexnode-digital-signage-software/,USA,Android; ChromeOS; Fire OS; Linux; Web Browser; Windows; iOS; macOS; tvOS,true,false,true,false,affordable,Pro,2.4,26.4
hexnode,hexnode,https://www.hexnode.com/mobile-device-management/hexnode-digital-signage-software/,USA,Android; ChromeOS; Fire OS; Linux; Web Browser; Windows; iOS; macOS; tvOS,true,false,true,false,affordable,Enterprise,3.6,38.4
hexnode,hexnode,https://www.hexnode.com/mobile-device-management/hexnode-digital-signage-software/,USA,Android; ChromeOS; Fire OS; Linux; Web Browser; Windows; iOS; macOS; tvOS,true,false,true,false,affordable,Ultimate,5.2,56.4
hipdeck,HipDeck,https://hipdeck.co/,USA,Android; Fire OS; Web Browser,true,true,true,true,affordable,1st screen,0,0
hipdeck,HipDeck,https://hipdeck.co/,USA,Android; Fire OS; Web Browser,true,true,true,true,affordable,Additional Screens,5,
hypersign,Hypersign+,https://hypersign.com/hypersignplus/,USA,Android; BrightSign; Fire OS; Tizen; Windows; iOS; macOS,true,false,true,false,midRange,Essentials,,238.8
hypersign,Hypersign+,https://hypersign.com/hypersignplus/,USA,Android; BrightSign; Fire OS; Tizen; Windows; iOS; macOS,true,false,true,false,midRange,Pro,,418.8
hypersign,Hypersign+,https://hypersign.com/hypersignplus/,USA,Android; BrightSign; Fire OS; Tizen; Windows; iOS; macOS,true,false,true,false,midRange,Enterprise,,648.96
iisignage,iiSignage,https://iiyama.com/gl_en/iisignage,Japan,iiyama,true,true,true,true,,Free,0,0
impressbox,Impressbox,https://www.impressbox.lt/en/,Lithuania,Android; ChromeOS; Fire OS; Linux; Tizen; Windows; webOS,false,false,true,false,midRange,Player,21.66,
info-beamer,info-beamer,https://info-beamer.com/,Germany,Linux; Raspberry Pi,true,true,true,true,affordable,1st screen,0,0
info-beamer,info-beamer,https://info-beamer.com/,Germany,Linux; Raspberry Pi,true,true,true,true,affordable,Devices,8.84,
intraactive-replay,IntraActive Replay,https://intraactivereplay.net/,Denmark,Web Browser,true,true,true,false,midRange,Basic,14.85,
intuiface,Intuiface,https://intuiface.com,France,Android; BrightSign; ChromeOS; Fire OS; Linux; Tizen; Web Browser; Windows; iOS; macOS,true,true,true,false,midRange,Non-Interactive Player,36.18,173.66
ipoint,iPoint,https://presentationpoint.com/software/ipoint/,Belgium,Windows,true,false,true,false,midRange,Player per screen,,199
iteq,ITEQ Digital,https://iteq.rs/en/,Serbia,Android; Fire OS,false,false,true,false,affordable,Pharmacies,5,
iteq,ITEQ Digital,https://iteq.rs/en/,Serbia,Android; Fire OS,false,false,true,false,affordable,Laboratories,9,
iteq,ITEQ Digital,https://iteq.rs/en/,Serbia,Android; Fire OS,false,false,true,false,affordable,Private clinics,13,
jiosignage,JioSignage,https://www.jiosignage.com/,USA,,false,false,true,false,premium,Advanced Users,25,
joan,Joan,https://getjoan.com/workplace-digital-signage/,United Kingdom,,true,false,true,false,midRange,Essentials,,205.2
juuno,Juuno,https://juuno.co/,Australia,Android; Fire OS; Raspberry Pi; Web Browser,true,true,true,false,affordable,Pay by the screen,5,
kitcast,Kitcast,https://kitcast.tv/,USA,tvOS,true,true,true,true,midRange,Growth,25,240
kiwi-signage,Ki-Wi Signage,https://www.kiwisignage.com/,Czechia,Android; Fire OS; Linux; Tizen; Windows; webOS,true,true,true,false,affordable,PREMIUM,16.99,136.73
koke,Koke,https://koke.gmbh/kms/,Germany,Android; Fire OS; Tizen; Windows; webOS,false,false,true,false,midRange,Device License,16.63,
l-squared-hub,L Squared Hub,https://lsquared.com/,USA,Raspberry Pi,true,false,true,false,,Professional,,365
liqvid,Liqvid,https://liqvid.io/,"Spain,Russia",Android; Fire OS,true,true,true,true,affordable,Free,0,0
liqvid,Liqvid,https://liqvid.io/,"Spain,Russia",Android; Fire OS,true,true,true,true,affordable,Premium,9.9,79.2
lira-screen,Lira Screen,https://www.lirascreen.com/,USA,Android; Fire OS,true,false,true,false,affordable,Standard,12,120
livesignage,Livesignage,https://www.livesignage.com/,Italy,Android; BrightSign; ChromeOS; Fire OS; Linux; Windows; webOS,true,false,true,false,midRange,Business,22,
localscreens,LocalScreens,https://localscreens.pl/oprogramowanie-digital-signage/,Poland,Windows,false,false,true,false,affordable,Basic,8,
localscreens,LocalScreens,https://localscreens.pl/oprogramowanie-digital-signage/,Poland,Windows,false,false,true,false,affordable,Premium,11,
localscreens,LocalScreens,https://localscreens.pl/oprogramowanie-digital-signage/,Poland,Windows,false,false,true,false,affordable,Enterprise,15,
look-ds,Look Digital Signage,https://www.lookdigitalsignage.com/,"USA,Russia",Android; Fire OS; Linux; Windows; macOS; webOS,true,true,true,false,midRange,1-5 Screens,15,162
lumicast,Lumicast,https://lumicast.com/,Netherlands,Android; Fire OS; Linux; Raspberry Pi; Tizen; Web Browser; Windows; macOS; webOS,true,true,true,false,midRange,Solo,19.38,
lumoplay,LUMOplay,https://www.lumoplay.com/,Canada,,true,true,true,false,midRange,LUMO Playground,33.5,263.16
lumoplay,LUMOplay,https://www.lumoplay.com/,Canada,,true,true,true,false,midRange,LUMO Playmaker,73.86,585.12
luna-screens,Luna Screens,https://lunascreens.com/,Australia,Android; Fire OS,true,true,true,true,affordable,Free,0,0
luna-screens,Luna Screens,https://lunascreens.com/,Australia,Android; Fire OS,true,true,true,true,affordable,Paid,3.75,35
mandoe,Mandoe,https://mandoemedia.com/,Australia,Linux; Web Browser; Windows,true,true,true,true,midRange,Basic,14,
mango-display,Mango Display,https://mangodisplay.com/,Canada,Android; Fire OS; Tizen; Web Browser; Windows; iOS; webOS,true,true,true,true,affordable,FREE,0,0
mango-display,Mango Display,https://mangodisplay.com/,Canada,Android; Fire OS; Tizen; Web Browser; Windows; iOS; webOS,true,true,true,true,affordable,PLUS,2.99,29.99
mangosigns,MangoSigns,https://mangosigns.com/,USA,Android; ChromeOS; Fire OS; Windows,true,true,true,false,affordable,Basic,9.95,107.4
mangosigns,MangoSigns,https://mangosigns.com/,USA,Android; ChromeOS; Fire OS; Windows,true,true,true,false,affordable,Premium,14.95,161.4
mangosigns,MangoSigns,https://mangosigns.com/,USA,Android; ChromeOS; Fire OS; Windows,true,true,true,false,affordable,Enterprise,24.95,269.4
mediacloud,mediaCLOUD,https://digitalsignage.com/_html/mediacloud.html,USA,,false,true,true,true,affordable,Free (3 screens),0,0
mediacloud,mediaCLOUD,https://digitalsignage.com/_html/mediacloud.html,USA,,false,true,true,true,affordable,Plus,3,
mediatile,MediaTile,https://mediatile.com/,Canada,Android; BrightSign; Fire OS; Linux; Tizen; Windows; webOS,true,false,true,false,midRange,Standard,,239
medyapin,Medyapin,https://medyapin.com/,Turkey,Android; Fire OS; Tizen; Windows; webOS,true,true,true,false,midRange,Per screen,27,270
mirror,Mirror,https://www.mirrorsignage.io/,Sweden,tvOS,true,true,true,false,midRange,Basic,20,
mirror,Mirror,https://www.mirrorsignage.io/,Sweden,tvOS,true,true,true,false,midRange,Professional,29,
musthavemenus,MustHaveMenus,https://www.musthavemenus.com/,USA,MustHaveMenus Player,false,false,true,false,midRange,Display,20,240
mvix,Mvix,https://mvix.com/,USA,Android; ChromeOS; Fire OS; Linux; Windows; iOS,true,false,true,false,midRange,Flex Standard,20,
mvix,Mvix,https://mvix.com/,USA,Android; ChromeOS; Fire OS; Linux; Windows; iOS,true,false,true,false,midRange,Flex Pro,30,
mysvd,MySVD,https://svd-studio.fr/affichage-dynamique-mysvd/,France,,false,false,true,false,premium,Starting price,67,
navori,Navori,https://navori.com/,Switzerland,Android; BrightSign; ChromeOS; Fire OS; Linux; Tizen; Windows; webOS,false,false,true,false,midRange,Cloud Essential,14,
neon,Neon,https://www.neonscreens.com/digital-signage,USA,Android; Fire OS; Tizen; webOS,true,false,true,false,premium,Digital Signage,35,360
netplay,NetPlay,https://video-storm.com/products.php?cat=15,USA,,false,false,true,false,,,,
nixplay,Nixplay,https://www.nixplaysignage.com/pages/display-signage-cms-software,USA,Web Browser,false,true,true,false,midRange,"Built-in, Complete Signage Software",19.99,
novisign,NoviSign,https://www.novisign.com/,Israel,Android; ChromeOS; Fire OS; Tizen; Windows; webOS,true,true,true,false,midRange,Business,20,216
nowsignage,NowSignage,https://www.nowsignage.com/,United Kingdom,Android; BrightSign; ChromeOS; Fire OS; Linux; Tizen; Web Browser; Windows; macOS; webOS,true,true,true,false,midRange,End User Pricing,20,
obscreen,Obscreen,https://www.obscreen.io/,France,Linux; Web Browser,true,true,true,false,affordable,Basic Cloud,3.43,
onsign-tv,OnSign TV,https://onsign.tv/,China,Amazon Signage; Android; BrightSign; ChromeOS; Fire OS; Linux; Tizen; Web Browser; Windows; iOS; macOS; webOS,true,true,true,false,midRange,Professional,19.99,215.88
opensign,OpenSign,https://www.opensign.us/,USA,Screenly Player; Web Browser,true,false,true,true,,,,
opensignage,Opensignage,https://www.opensignage.com/en/free-digital-signage-software,Netherlands,Android; Fire OS; Windows,true,false,true,true,midRange,CMS Subscription,23.5,254
optisigns,OptiSigns,https://www.optisigns.com/,USA,Android; BrightSign; ChromeOS; Fire OS; Linux; Raspberry Pi; Tizen; Windows; iOS; macOS; tvOS; webOS,true,true,true,true,affordable,Free,0,0
optisigns,OptiSigns,https://www.optisigns.com/,USA,Android; BrightSign; ChromeOS; Fire OS; Linux; Raspberry Pi; Tizen; Windows; iOS; macOS; tvOS; webOS,true,true,true,true,affordable,Standard,10,108
pickcel,Pickcel,https://www.pickcel.com/,India,Android; BrightSign; ChromeOS; Fire OS; Linux; Tizen; Windows; iOS; macOS; webOS,true,true,true,false,midRange,Professional,15,162
pictor,Pictor,https://pictorplayer.pl/,Poland,Android; Fire OS; Windows,true,false,true,false,affordable,Basic,10,
pictor,Pictor,https://pictorplayer.pl/,Poland,Android; Fire OS; Windows,true,false,true,false,affordable,Advanced,13,
pictor,Pictor,https://pictorplayer.pl/,Poland,Android; Fire OS; Windows,true,false,true,false,affordable,Premium,21,
pictor,Pictor,https://pictorplayer.pl/,Poland,Android; Fire OS; Windows,true,false,true,false,affordable,Enterprise,32,
pisignage,piSignage,https://pisignage.com/,India,Android; Fire OS; Linux; Raspberry Pi; Web Browser,true,true,true,true,affordable,Basic,3.43,
playipp,PLAYipp,https://playipp.com/digital-signage/,Sweden,webOS,false,false,true,false,premium,PLAYipp digital signage platform,27,
playshield,PlayShield,https://playshield.tv/,USA,Android; ChromeOS; Fire OS; Linux; Raspberry Pi; Tizen; Windows; webOS,true,true,true,false,affordable,Cloud,5,
playsignage,Play Digital Signage (PlaySignage),https://playsignage.com/,USA,Amazon Signage; Android; BrightSign; ChromeOS; Fire OS; Linux; Raspberry Pi; Tizen; Web Browser; Windows; macOS; webOS,true,true,true,false,affordable,Subscription,18,144
posterbooking,Posterbooking,https://posterbooking.com/,USA,Amazon Signage; Android; Fire OS; Linux; Raspberry Pi; Windows; macOS,true,true,true,true,affordable,Home Basic,6.49,
publicview,PublicView,https://www.narrowcaster.eu/?lang=en,Netherlands,Android; Fire OS; Windows; webOS,false,false,true,false,premium,Lite,,347
publicview,PublicView,https://www.narrowcaster.eu/?lang=en,Netherlands,Android; Fire OS; Windows; webOS,false,false,true,false,premium,Basic,,486
publicview,PublicView,https://www.narrowcaster.eu/?lang=en,Netherlands,Android; Fire OS; Windows; webOS,false,false,true,false,premium,Advanced,,624
pyrosign,PyroSign,https://pyrosign.com/,USA,Raspberry Pi; Web Browser,false,true,true,true,affordable,1 Display Free,0,0
pyrosign,PyroSign,https://pyrosign.com/,USA,Raspberry Pi; Web Browser,false,true,true,true,affordable,Standard,7,84
pyrosign,PyroSign,https://pyrosign.com/,USA,Raspberry Pi; Web Browser,false,true,true,true,affordable,Pro,10,120
pyrosign,PyroSign,https://pyrosign.com/,USA,Raspberry Pi; Web Browser,false,true,true,true,affordable,Enterprise,14,168
q-play,Q-play,https://nordicscreen.com/digital-signage/,Denmark,Android; Fire OS; Linux; Web Browser; Windows; webOS,true,true,true,false,affordable,Lite,13.8,138
quickesign,Quickesign,https://quickesign.net/,USA,Android; Fire OS; Raspberry Pi; Roku OS,true,true,true,false,affordable,Light,6,60
quickesign,Quickesign,https://quickesign.net/,USA,Android; Fire OS; Raspberry Pi; Roku OS,true,true,true,false,affordable,Standard,10,99
quickesign,Quickesign,https://quickesign.net/,USA,Android; Fire OS; Raspberry Pi; Roku OS,true,true,true,false,affordable,Pro,15,149
quickesign,Quickesign,https://quickesign.net/,USA,Android; Fire OS; Raspberry Pi; Roku OS,true,true,true,false,affordable,Enterprise,20,199
quicksign,QuickSign,https://quicksigncloud.com/features/,USA,Android; Fire OS,false,false,true,false,midRange,QS Basic,15,
quicksign,QuickSign,https://quicksigncloud.com/features/,USA,Android; Fire OS,false,false,true,false,midRange,QS Pro,20,
reach,Reach,https://reachmedianetwork.com/,USA,,false,false,true,false,midRange,Pro Plam,19.99,
repeat-signage,Repeat Signage,https://www.repeatsoftware.com/,United Kingdom,Windows,true,true,true,false,midRange,Repeat Signage V5 Standard Edition,,172.5
retailrotor,RetailRotor,https://rerotor.ru/,Russia,Android; Fire OS,false,false,true,false,affordable,Small business,8.2,
rise-vision,Rise Vision,https://www.risevision.com/,Canada,Amazon Signage; Android; ChromeOS; Fire OS; Linux; Tizen; Web Browser; Windows; tvOS; webOS,true,true,true,false,affordable,Basic,12,132
rockbot,Rockbot,https://rockbot.com/digital-signage-for-business,USA,Android; BrightSign; Fire OS; Tizen,true,true,true,false,premium,Digital Signage,30,300
rt-screens,Умные экраны,https://rt.ru/b2b/solutions/screens,Russia,Android; Fire OS; Linux; Tizen; Windows; iOS; macOS; webOS,false,false,true,false,affordable,Без видеоаналитики,10.5,
salute-screens,Салют Экраны,https://developers.sber.ru/portal/products/salute-screens,Russia,Android; Fire OS; Linux; Tizen; Windows; iOS; macOS; webOS,true,false,true,false,affordable,Без видеоаналитики,10.5,
samsung-vxt,Samsung VXT,https://vxt.samsung.com/,South Korea,Android; Fire OS; Tizen; Windows,true,true,true,false,midRange,S Series,20,200
scalefusion,Scalefusion,https://scalefusion.com/,India,Android; ChromeOS; Fire OS; Linux; Windows; iOS; macOS,true,false,true,false,affordable,Essential,,24
scalefusion,Scalefusion,https://scalefusion.com/,India,Android; ChromeOS; Fire OS; Linux; Windows; iOS; macOS,true,false,true,false,affordable,Growth,,42
scalefusion,Scalefusion,https://scalefusion.com/,India,Android; ChromeOS; Fire OS; Linux; Windows; iOS; macOS,true,false,true,false,affordable,Business,,60
